,text
142,I don't like deals over the phone
143,I'm doing fancy quick calling.
144,That's none of your goddamn business
145,don't call me no more with it
146,So please remove our name
147,You want to see guys be called every day? You've already called once today.
148,I've asked him many times to take this number off your listings.
149,I'm not interested.
150,Did you call me last week too?
151,people like a son of a bitch.
152,"No, I'm not looking for that."
153,I've had a lot of people call
154,You call the business fine.
155,I just had a call from now about 30 minutes ago.
156,Can you remove me from your calling list?
157,Can you please take me off the list?
158,you need to take me off of your call list please.
159,I wish you guys would stop calling my number.
160,please remove my name from the list
161,I don't want to take out any more issues.
162,Taking off your goddamn list.
163,I think we won't be interested.
164,Don't call me again.
165,no life insurance.
166,can you take me off the list
167,I'm not interested in it. 
168,can you please take me off this list?
169,I'm not interested in any insurance
170,I don't need any benefits.
171,"Why don't you just hang up, you fucking idiot."
172,I don't think I'm interested
173,I don't need anything.
174,you call me 15.
175,. I don't need any insurance
176,"Would you take me off your list, please?"
177,Please lose my number.
178,but y'all just keep calling and calling and calling.
179,Don't call this number.
180,I run a business and I get about 20 calls a day from y'all.
181,I don't want it.
182,Please add me to your do not call list
183,Please don't call this number again.
184,Please stop calling me.
185,"We don't need it,"
186,I don't need to buy anything.
187,I am not interested in this.
188,Don't call again.
189,You need to get this number off your list.
190,no. Thank you.
191,"No, I don't think so."
192,"I think you have the wrong number,"
193,I'm doing pretty good with your fucking cock check out.
194,we don't need any benefits.
195,Will you take me off to this?
196,Don't pay us to shove them up your ass.
197,take us off your playlist.
198,Now why don't you go fuck a pig?
199,Please stop calling.
200,I don't need any interest
201,So I don't need it
202,Get this off the phone.
203,I don't think I'm interested.
204,Not interesting
205,check my name off this call and list
206,I'm not in the middle of your funeral.
207,I'm not interested in this.
208,I keep asking people to take me off.
209,So can you please remove the number
210,please stop wasn't calling me.
211,"No, we're not enticing this."
212,Can you take me off your phone list?
213,I'm going to talk to you about your representative.
214,I don't need those license services.
215,"No, thank you very much"
216,You don't need to call me no more
217,You're calling off of a spoofed number.
218,Stop calling this number.
219,please don't bother me again.
220,Could you pick me off the list?
221,I don't want to participate in anything.
222,Do not call
223,We are pleased to stop calling me by some senior benefits.
224,don't call here.
225,I don't need any more help.
226,take me off your list
227,"Oh, it only no interest"
228,"No, I'm not"
229,This is a business line. And I appreciate if you guys stop calling it.
230,I would like for you to quit tall on these scam likely.
231,Take us off your calling list.
232,"James, shut up."
233,I'm not an interest.
234,"No, I'm not interested."
235,we don't need it.
236,taking her off your calling list.
237,I think you have the wrong number.
238,Why do you guys keep calling me?
239,quick. Call me.
240,I don't need it
241,I don't need anything right now.
242,You're calling me several times because please stop calling me.
243,Please remove us from your list.
244,I want you guys to take me off here and do not call this.
245,fuck this shit
246,"If you can stop calling, I'd appreciate it."
247,Can you take me off to the police place
248,Can you take us off your call list please
249,Take the off the list.
250,Don't call me.
251,I don't need your insurance.
252,"No, I don't want to let it return"
253,I don't like this.
254,"Get out of here, scammer"
255,I don't need another insurance.
256,there is so many people keep calling.
257,None of you are fucking business.
258,And I would like if you please don't call us again
259,"No, I didn't buy anything."
260,Not really
261,"Can you get me up the list, please?"
262,Put me on your do not call list
263,"No, that's okay"
264,"Hey James, go fuck yourself."
265,Take me off the list
266,This is like the seventh or eighth time you're told.
267,Can you remove this number from your calling list?
268,"No, I'm not. No, I'm hang up. I'm hang up."
269,I don't need no business.
270,don’t call here again
271,I'm just like I was when you called me a couple hours ago. Bye bye.
272,you call me 17 times this and I told you that I answer.
273,I got to tell you people to take my name off your list
274,Don't call anymore.
275,I don't need none.
276,Can you back off?
277,Don't need it
278,can you please stop calling?
279,I'm not only no damn benefit.
280,you just call a while ago.
281,put me on your do not call list.
282,I'd like to be taken off the stand call.
283,"Don't call this number again, put on your no-call list."
284,stop calling
285,please never call me back again.
286,I am not interested in any kind of insurance
287,"I don't need any help. We have our plot, we've got everything"
288,Will y'all please stop calling?
289,we don't need any life insurance
290,Why do you keep calling me
291,would y'all take me off the list?
292,I don't need to be this. So stop.
293,I don't need nothing like that
294,"I want you to take me off my calling list, off your calling list."
295,I would like to be placed on the do not call list
296,I don't want to remove my number from your call list.
297,Are you removing my number from your call list?
298,I don't need it.
299,I'm not interested in the insurance
300,"At until we stop calling, yeah, got in somewhere."
301,Nope.
302,i'm not interested.
303,none of your business.
304,I do not want insurance.
305,I don't need all of that
306,I'm not interested in anything.
307,I'm not interested in any of that.
308,Could you take my name off your list?
309,I don't need this.
310,So did you get me on doing a call list? I also have to block.
311,"Oh, no, thank you."
312,Please don't call here again
313,I do not need any more.
314,Why do you keep calling me?
315,I'm not interested in this. I'm not interested in this.
316,don't call back
317,So I don't think I want to hear about anything.
318,m not interested in buying.
319,Could you please remove me from your call list?
320,Don't call me no more.
321,scam logs
322,I don't want to talk about that.
323,Every day you bother me.
324,Just take my number off your list.
325,Take me out your list
326,"No, I wouldn't"
327,"I told you even last week, don't call this number"
328,Don't call me back again.
329,"You guys have been calling me consistently,"
330,I can't afford nothing right now
331,Can you stop calling me?
332,Take my name off your list
333,Quick calling me.
334,You're speaking with a dispatcher at a business.
335,I'm not interested in insurance.
336,Take my name off.
337,I'm sick and tired of you people calling me every frickin' day.
338,I wish there was some way that we could get through to you to get you to quick calling us
339,Please stop calling
340,you guys call me about four or five times a week.
341,please don't call.
342,I don't need no more
343,I'm just not ready to decide. But thank you for telling. I'm not ready to decide.
344,Would you stop calling here?
345,No. Okay.
346,he buries his shit in the back yard when he takes a shit
347,So please don't call me no more.
348,you've got to remove my number from your list. I'm going to have to remove my number from your list.
349,Please don't call this
350,you got the wrong number.
351,I'll take me off.
352,Will you please stop. Call me.
353,I have been called twice today and numerous times yesterday and the days before. Please don't call again.
354,I'm going to ask again that you remove me from the call list and do not call this number again
355,"No, no, no, no, thank you."
356,I'm not interested in
357,Please do not call me again. Do not call me.
358,take me off of your call list
359,I don't know why you keep calling me.
360,you can remove me from your call list.
361,it's a scam.
362,Not really.
363,you have called me before.
364,I would appreciate it if he would stop calling me
365,Please don't call here.
366,What do I have to do to get you to stop calling me
367,that already called me today
368,Can you remove this number off y'all's list? This is a business.
369,Take me off your name and calling with us.
370,I don't need one.
371,would you quit calling me
372,"I think you have the wrong number, sir."
373,I don't need a license insurance
374,Please take me off this list.
375,Stop calling here.
376,stop calling me.
377,"No, I'd rather not."
378, I'm not interested in insurance
379,I don't need any insurers from you
380,Stop fucking calling me.
381,I want to speak to a representative
382,Take me off your list please.
383,Could you please take me off your list
384,I've asked to take my name off your call list.
385,I don't need your product.
386,not interested.
387,So you're going to call me every day?
388,"Well, stop calling. Well, stop calling."
389,I would be real good if people would quit calling me from Senior Benefits.
390,We don't need any of them.
391,wrong number.
392,I don't need that coverage
393,Can you put me out here? Do not call with
394,I want you to stop calling me.
395,"Take me off the call,"
396,You've called the place of business.
397,I'm not interested in that
398,Y'all won't stop calling me. So me and my husband is going to sue.
399,I don't need any.
400,Don't call me with that. Don't call me with that no more.
401,I'm still not interested.
402,Can you please take my number off this phone call?
403,"put me on the do not call us, and don't call me that."
404,I don't need the coverage
405,I'm not really interested in
406,And you rather the fucking guy. You fucked up.
407,This is the third time you guys are called
408,You just called me 10 minutes ago.
409,Stop talking.
410,please do not call this number again.
411,you guys call me a thousand times a day.
412,I don't need any information.
413,Rather take me off the
414,Can you quit calling me?
415,Don't call in my phone.
416,I don't need license insurance.
417,Can you take my name off this?
418,Please take us off of your...
419,Can you put me on the do not call
420,you guys keep calling me
421,I don't need to serve your service.
422,Can you take me off your list?
423,I don't need nothing.
424,Could you just remove me from this calling one
425,I'm not interested now.
426,I don't need two of them
427,Please remove me from your call list.
428,"No, bitch. Hang up."
429,"No, no, no, no, no."
430,I wish that you would just quit calling me.
431,just fuck yourself.
432,I'm not interested in.
433,you can just fuck off
434,I'd like my name removed from your call list
435,You must have the wrong number
436,We don't need not be.
437,I'm not interested in these
438,No. Thank you.
439,Delete this number.
440,Give your damn head. Don't call me.
441,please don't call me no more.
442,I don't need any of that right now.
443,I told you to quit calling me.
444,I'm not interested in...
445,"No, no, no,"
446,add me to your do not call list.
447,It's fucking morning.
448,"Fuck y'all,"
449,I wish you all a quick calling
450,"Could you take me off your call list,"
451,it was known for damn good.
452,"No, no, no"
453,How come you keep calling me?
454,Please don't call here anymore.
455,harassment. Every five minutes I get a phone call from you guys.
456,"No, thank you"
457,I don't need any additional insurance. Thank you
458,I'm not really interested
459,Stop calling me.
460,I don't think I need it
461,I think you're calling the wrong person for our company.
462,take me off the list.
463,You said you wanted to lick my asshole.
464,I'm not interested in it
465,I'm fine as long as you people stop calling me. I get so many damn calls.
466,Take my name and call me
467,I'm not really interested.
468,"Becky, shut the fuck up"
469,I'd like to learn more about this scam
470,I've asked you repeatedly not to call me anymore.
471,This is a business.
472,Once called Senior you fucking shag it.
473,Y'all are scammers. Stop calling me.
474,"What do you want you Indian motherfucker, stop calling me"
475,do not call this number again.
476,o could you please take us off your list?
477,I don't need no burial insurance
478,I don't need your help.
479,I'd be great if you ain't just fucking calling me.
480,This number is on the national do not call
481,Don't call us on her.
482,"Shut up, bitch."
483,No.
484,"Take me off your list, please"
485,I'm not answering that.
486,No. No
487,I wouldn't be interested in it.
488,Don't fucking call my motherfucking phone again
489,None of your business.
490,We're not interested.
491,do not call
492,I do not need that.
493,That's how I'm going to go fucking...
494,I won't need it.
495,I'm not going to give you that information.
496,Don't call here. No more. Don't call here.
497,Not interested
498,Take my damn phone number out of your
499,I wish all you guys the last time with quick calling my number. You're not calling me again.
500,I am not interested in it
501,I don't want to have that.
502,"Oh, I wouldn't."
503,"I don't want you to call me again, please."
504,Why don't you suck a dick?
505,do not need no interest.
506,I don't need any live insurance supplies.
507,I don't need final expense insurance.
508,Leave me alone. Take me off your call list.
509,"You call me last night,"
510,"I'm not ready to die yet Becky, but I appreciate it."
511,you're calling a hospital.
512,"Oh, I'm not interested"
513,you called me this morning James
514,so quit sussin' call on me.
515,Who the fuck are you?
516,You stupid sandnegger!
517,take me off the call-up please
518,Please take us off your call list
519,"No, I don't like that."
520,I've only had over 100 calls.
521,please do not call me again.
522,I don't really like insurance.
523,can you remove me from this list
524,You have the wrong number. You have the wrong number. You have the wrong number.
525,Take me off your call
526,I'm not going to tell you.
527,"I'm not going to tell you,"
528,Please don't call me anymore.
529,do not call me back.
530,I told you not to keep going
531,Not interested.
532,stop calling.
533,I don't need any of the life insurance.
534,Thank you for calling Sandy a laboratory federal credit.
535,"No, thank you. Right now."
536,I'm going to hang up.
537,Stop calling my phone moron.
538,Shut up!
539,No thank you.
540,Do not call me again.
541,you get a carrot in sticking in your asshole
542,I don't need it 
543,I must tell what police quit calling. I don't need anything.
544,I'm not interested with this time.
545,Let the fuck up the dog home and fucking phone asshole.
546,You guys need to quit calling
547,would you people please quit calling?
548,I don't need no life insurance.
549,what the fuck do you want?
550,We don't need that.
551,I'm going to fuck you in my ass.
552,How do I get removed from your call list?
553,Could you just stop calling me
554,you keep calling me.
555,Please take me off your
556,I don't need no damn senior benefits.
557,You can take us off that call list
558,How do you take me off of your call list
559,"nd I wish it could put calling. Take me off your call list, please."
560,Not fucking cool
561,Take this number off your call list.
562,I want you to stop calling me
563,I am not interested. I'm not interested
564,Why in the world don't you quit calling me?
565,Please do not call me anymore
566,I don't want to talk to anybody.
567,Take us off your list
568,No. I don't care for it.
569,Do you need to speak to someone in the braces side or general dentistry?
570,please stop calling this number. I would appreciate it.
571,you can remove the phone number?
572,Can you please remove my number
573,I'm not going to give you any information
574,Can you put me in a not cold list
575,I think you caught wrong place
576,"No, no, no, thank you. Goodbye."
577,"this numbers on the do not call list, so please do not call."
578,I don't need no license.
579,take me off your list.
580,I've asked several times if you guys had quit calling me
581,please take me off the call list.
582,I don't need no final expense.
583,take my number out of your damn calling list.
584,Would you please take me off your call list? Thank you.
585,It's just a waste of time
586,How do I get off of this list?
587,I'm tired of phone calls. Don't...
588,Do not call me.
589,Would you take me off your call
590,Can you please stop calling my phone
591,Could you take me off your mailing list?
592,Please take me off your list.
593,"I don't like these calls. You guys keep calling me all the time,"
594,please don't call no more.
595,please just don't call again.
596,I don't need to talk to him.
597,And you guys call from so many numbers.
598,Take me off the list.
599,You seem to keep calling for some stupid reason
600,I don't believe I need that.
601,Please don't call me right here.
602,fucking
603,Can you remove my number from your...
604,I fucking said no.
605,you removed me from your list
606,I'm just not interested.
607,"No, ma'am,"
608,"Could you please take me off the call list,"
609,I don't need a fee.
610,You're calling me on the same different numbers all the time
611,I wish you all a quick calling here
612,Would you please take me out for your ear?
613,Please don't call this number again
614,I'm not interested in overshoring
615,This is a business office and industrialization specialist.
616,So quit wasting my time.
617,You move my number to your lead.
618,I don't want that.
619,I'm not ever going to die. You know... I'm not going to die.
620,Please take me off of you
621,Don't call no more.
622,this is a business
623,we're not interested.
624,So please take me off your call list or I'll report you guys.
625,I don't want to know a goddamn thing. 
626,I'm not interested in benefits.
627,I wish you would stop calling.
628,And quick calling me. You prick.
629,I would like for you to remove us from your call list.
630,". No, I cannot use it. Thank you."
631,Take my name off the call.
632,I know all day shit
633,"Kiss my ass. Stop calling this goddamn number, you fucking jackass."
634,don't call me anymore.
635,Please do not call here again.
636,I'm not buying them.
637,"how many times do you want to call, buddy"
638,off your list
639,. I'm not interested
640,You want to fuck?
641,If you guys stop calling me please.
642,"if you're trying to tell me a bunch of junk anymore, don't call it more."
643,"No, thank you. Bye"
644,"Oh, oh. No"
645,I don't need nothing like that.
646,Can you take me off the
647,I told them to take my name off the list
648,Why do you keep calling me? I don't want you to call me.
649,please don't call me back.
650,Do not call us.
651,I think you called it wrong number. This is Ross's store
652,I don't need your benefits.
653,It doesn't stop. It's like so annoying
654,I'm going to take off our number.
655,"Oh, no, thank you"
656,taking us off your call list
657,I'm not interested
658,Stop calling me with this shit.
659,I've actually all not to call me no more
660,I'm not interested though.
661,I don't need your service
662,"I'm good, motherfucker."
663,How many times you gonna call me?
664,You can fuck you.
665,You can put me on your do not call it.
666,I don't need that yet.
667,I don't want any more calls.
668,I don't want
669,Don't be calling me dirty motherfuckers.
670,And I feel like y'all harassing me
671,Please remove me from your call.
672,You guys keep calling.
673,"you're not leaving me alone, are you?"
674,bitches?
675,Why are you calling a business
676,I'm trying to get myself off the list.
677,Take this number off of your list.
678,put me on your national do not call list.
679,This is a hospital
680,I don't want none
681,It's a third time you people call me
682,Have to keep calling me
683,shit
684,You please take me off your calling list
685,Don't call back.
686,Please remove it from your
687,I just think you called the wrong number
688,We are definitely not interested in
689,I can't talk right now.
690,I'm not interested in nothing like that.
691,you don't call me one time today.
692,"I'm not ready to take on another expense. So no, thank you."
693,No. Stop calling.
694,is there any way that you can take me off your list of people to call?
695,somebody already called me about that. Okay.
696,I'm really not interested in
697,Who's the fucking carrier?
698,You gonna let me fuck your big dick?
699,Could you take me off to the calling list
700,I don't need a final expense.
701,I don't need this
702,I'll be a lot better if you guys could call me all the time
703,Please do not call anymore
704,I'm not interested in life insurance
705,y'all keep rolling my phone up.
706,WLS TV transmitter site. That's who you called
707,you stop calling me.
708,This is a scam call.
709,I don't need the more.
710,So you can take me off your little list.
711,I don't buy stuff for people that call me on the phone.
712,Take me off your list.
713,I'd like you to stop fucking calling me.
714,Do me a favor and remove my fucking number.
715,you don't call here anymore.
716,I don't need no more.
717,do you enjoy wasting my time every day
718,Can you remove me off your card and list
719,I really am not interested.
720,I'm not interested in it.
721,Take me off your call list
722,Quick calling
723,I don't need any of that.
724,I don't think I'm interested by investing right now
725,"No, no, no, no, no, no."
726,don't call me back. Take my name off.
727,I told you not to call me
728,fuck yourself.
729,I asked you guys to stop calling my numbers.
730,you're being a fucking ass right now
731,what the fuck you calling me for?
732,"You keep calling a business. You just call me about three, four times a day."
733,Please take me off your call list.
734,Can you take me off your call?
735,This is a hospital room.
736,please remove me from your list.
737,let me tell you I have to tell you not to call me.
738,I wish your company would stop calling me.
739,I don't need any extra life.
740,I don't think I'd be interested.
741," No, I don't want to talk to them"
742,Please don't call back here again.
743,this is about my 15th call.
744,None of your fucking business.
745,"No, no."
746,I'm not impressed with that.
747,"No, no. I don't want anything right now."
748,you guys keep calling me.
749,"Maybe when I'm dead, I have no way of knowing if I'll pay for it and when I get. So that's why I don't go for that."
750,Don't bother me again with this.
751,Do not call this please
752,I'm putting on do not call this.
753,I'd like you to quit calling me
754,I'm not interested in any more insurance.
755,Stop fucking call
756,We wouldn't be interested.
757,"No, thanks"
758,I don't deal with the phone.
759,I don't give a fuck about that shit.
760,No. Thank you
761,Quit calling me
762,can remove me from your call list.
763,"No, I don't need any new benefits"
764,could you take me off
765,this is a hospital and we need this number removed from your
766,People keep calling me. It's driving me crazy.
767,fucking bother fucking ass lackin' in the morning. This is shit.
768,I am having sex with your mom.
769,"y'all just keep calling me, and I'm tired of it."
770,this is my daughter's phone you're calling. So if you could just remove the number
771,you guys keep calling me all the time. Can't you take me off your damn list?
772,Please take me off of your land
773,So if you can please remove it from your
774,put me on my do not call list.
775,we wouldn't be interested.
776,I don't need life insurance.
777,I don't need any more insurance
778,I don't need to do that.
779,Stop calling me
780,I ain't a fucking senior.
781,Can you remove me from the call?
782,Please don't call me again.
783,Can you take us off your phone with you
784,I request that you put my name and my phone number on a do not call list.
785,"No, no, no. I don't need all of that. Thank you very much"
786,Please hang up and please take my name or if you'll call a list.
787,"Fuck you, your motherfucker"
788,don't bother me with that shit
789,You don't need to call back no more.
790,Put me on your do not call it.
791,I'm tired of y'all calling me. I get 10 calls for more days from y'all. Take me off your list.
792,quit calling me
793,. I am not interested in anything else.
794,"I'm still alive, dog"
795,"No, not at this time,"
796,I've asked you guys several times already to take me off your call list.
797,You take me off your call list.
798,I don't want my insurance
799,don't call me again.
800,so take me off the list
801,No ma'am
802,You can call me for this shit.
803,"We're not interested,"
804,This is the business center.
805,I'm on the National Do Not Call for a S***.
806,please take my name and number off of your calling list.
807,I want to fucking tell you and I find you and beat this fucking shit out of you.
808,I won't need it
809,you can take me off your phone list.
810,"No, I don't think so. Thank you."
811,Can I go on a do not a call list?
812,"you've been favor of the shut up, please. Take my off-road list."
813,Please take me off your call.
814,"No, not at this time."
815,would you just take me off your list?
816,I'm not invited between any fucking age and none of your fucking business.
817,why don't you just tell me what you want and then take my name off your call list
818,I'm not interesting.
819,I don't need no shit. Let's get out of my phone.
820,It's not in your business.
821,I don't need no live insurance.
822,What do I have to do to get you to stop calling?
823,This is harassment.
824,"I just fucking cussed you out of here, bitch. Don't call here."
825,I wish you people a quick call on me please.
826,Would you please put me on Do Not Call?
827,I'm fucking horrible since you called. You called to put me on the call list.
828,Don't need any senior benefits or anything else.
829,no thank you.
830,I don't need life insurance at this point
831,You take me off your call list
832,I don't need none of that stuff. I'm already got this.
833,I can't participate with anything
834,I don't need any senior benefits.
835,I don't need to know
836,"No, I'm not."
837,"No, no, I don't need"
838,"I've got no bullshit today,"
839,How do you keep on calling people bullshit
840,This is a business
841,y'all keep calling me.
842,I do not call it.
843,I don't think I'm interested right now.
844,you might have the wrong number
845,So what would you like to learn how a partner appreciate that motherfucking piece shit?
846,Take me off of your call list.
847,I don't want to talk about burial right now
848,So take me off your list.
849,remove this number from your calling list.
850,will you please quit calling me?
851,Could you please take me off your list?
852,not interesting
853,I'm not interested right now
854,You're calling list.
855,"Would you take me off your list,"
856,Please put me on a do not call list.
857,"Fine, but I don't need any senior benefits"
858,fuck.
859,Take me off your list
860,Go fuck yourself.
861,. Fuck all you
862,Put me on your DNC list.
863,could you take me off your call list please
864,That's not okay.
865,. I wish you would never call me again.
866,you've called me a hundred times.
867,Can you guys stop calling this number please?
868,This is the 10th call. Do not call me again.
869,I won't be needing any of this time.
870,Please take me off your list
871,Did you call me a little while ago?
872,please stop calling.
873,if you took me off your call list
874,"No, thank you. "
875,I don't want to
876,please stop calling us.
877,I wish every one of you people would take me off your list and put a call in the every single day.
878,Can you stop calling my line?
879,"If you ever call me again, I'm going to please put you in jail."
880,My name and number off of your list.
881,I wouldn't be interested.
882,I'm not interested in any life insurance.
883,how about you quit fucking calling me?
884,Don't need any Becky
885,Why do you keep on calling me?
886,will you guys quit calling me at Medicaid?
887,Can you not stop calling here
888,y'all do not call.
889,why y'all keep calling
890,You call me everyday
891,I'm not even ready.
892,"don't call me anymore,"
893,I have a number you dumbass.
894,please take me off your list.
895,Fuck off
896,Put me on the do not call
897,Put me on a do not call list.
898,Stop calling my phone
899,Why do you all keep calling me?
900,Please don't call back.
901,Stay from your listing.
902,Don't need it. Don't need it.
903,You call me 10 damn times about this
904,"Take me off your list,"
905,Please remove this from your list.
906,I don't need any shit.
907,"No, thank you. That's okay. Thank you for calling."
908,I don't need none of that.
909,I don't need that. I don't need tha
910,"Oh, but I'm not interested."
911,I've told you to freak easily that to call me.
912,I'm not interested in the final expense insurance.
913,I don't need to give you a pricing
914,I don't need this call anymore.
915,Take me off your lips.
916,You people have been calling me every day for like two months
917,Just take me off the call
918,get my number off this damn list.
919,Remove my number from your lid.
920,you guys stop calling.
921,"I'm not interested, ma'am."
922,Remove me from your calling.
923,I have no interest in talking to him.
924,I just want to die
925,I don't know.
926,Who is fucking calling me?
927,Why you people keep calling me?
928,Can you remove me from your callers
929,"I'm fucking party, bitch."
930,Don't call this number number.
931,you are damn liar.
932,Can you please take me off your call list
933,Representative.
934,If you're a please take her off the call list and quit calling.
935,I don't want to do that.
936,Can you please remove my phone number from your list?
937,this damn call.
938,I have been asked to have my number removed from this call list.
939,We're not interested. I
940,You must have a wrong number.
941,not right now. Not interested.
942,Don't call me back.
943,", I'm not interested in this plan"
944,I'm not interested. I'm not interested.
945,You have called the Fairfax County Police Department.
946,I want you to remove my number from your call list.
947,please stop calling me.
948,Will you please stop calling me
949,Shut up.
950,don't need anything whatever you offer.
951,I'll be real good when you take my name off the list.
952,Don't want to talk to you.
953,You're calling from Gateway Auto Parts.
954,"I've asked about 1,000 times to have my number taken off of your list"
955,You've been calling me every day.
956,you're calling a hospital home
957,How won't you put me on a no-call list?
958,Please quit calling.
959,please stop calling me
960,Please take us off your
961,you got the wrong number. Don't call us.
962,"could you please take my number off your list, please?"
963,no. I'm not ready.
964,please don't call again.
965,You stupid motherfucker.
966,We... You call the business
967,So don't call me back.
968,this is like the third time you've called this morning.
969,His parents even sold my shit so quit calling me
970,I want you to take me off your list.
971,how many times are you going to call me?
972,I don't need no of that.
973,put me on your do not call list because I'm not a senior and I just keep getting these calls.
974,I don't need funeral expenses
975,Take me off to this
976,I don't want it
977,Is illegal?
978,I've asked you guys to stop calling me.
979,Fuck you
980,why don't you just fuck off?
981,I don't need that
982,Please remove this number from your listing.
983,"You will fucking die. You will fucking die. You got it, right?"
984,"I don't need insurance now,"
985,Take me off your list right now.
986,I don't need you
987,I'm not really interested in that.
988,I'm not even interested
989,I am not interested in a life insurance.
990,I'm going to report it to whoever I can report it to from the police department to FCC and everybody else. Do not call.
991,Do not call here again.
992,"I don't give a shit, don't go to hell."
993,"I don't need any. So, goodbye"
994,you don't have to do all that crap.
995,I am not interested
996,your calling list.
997,Please don't call me back again
998,You call me so many times
999,Please keep an eye on your list.
1000,You call me today
1001,Take me off the call list.
1002,You have the wrong number.
1003,Can you take me off your call list
1004,this is the fifth time I've asked you guys to quit.
1005,Stop calling my ****
1006,Can you put me on the
1007,I am not interested in this right now.
1008,you did that crap.
1009,I don't want to answer.
1010,You got the wrong number
1011,So take me off your lips.
1012, I'm not interested.
1013,I don't want you to fucking call me no more at home.
1014,Please take me off the call list.
1015,I'm not even looking for you.
1016,"Becky, get a real fucking job."
1017,"I think you've got the wrong number,"
1018,I don't think that we're interested.
1019,because I'm not interested
1020,"No, not interested. Not interested"
1021,Please take me off the list.
1022,"can you not call me anymore please? Okay, can you not call me anymore please?"
1023,"I'm not interested,"
1024,"No, thank you. No, thank you."
1025,I'm not fucking calling you.
1026,I am not interested in health insurance.
