,text
317,I'm not interested
318,I'm not interested
319,WLS TV transmitter site. That's who you called
320,Stop calling me
321,Take me off your call list
322,"We don't need it,"
323,I can't talk right now.
324,You're calling from Gateway Auto Parts.
325,We don't want to talk to you.
326,take me off and calling Leah.
327,I don't need any benefits.
328,I don't need any extra life.
329,Fuck you
330,can remove me from your call list.
331,Why do you guys call me every single day
332,I'm tired of getting phone calls.
333,I'm not interested in it.
334,Don't call me back.
335,I'm not interested.
336,You stupid motherfucker.
337,I don't need any.
338,Can you take me off to the police place
339,I'm not interested.
340,I'm not interested.
341,I'm not interested.
342,I got everything set up
343,"I think you have the wrong number, sir."
344,Can you remove this number off y'all's list? This is a business.
345,I don't need your
346,"No, I'm not interested"
347,I don't need to be this. So stop.
348,Not interested.
349,"No, not at this time,"
350,you're being a fucking ass right now
351,Please take us off the list.
352,I appreciate if you would take me off your call list
353,No.
354,I don't need any.
355,You must have a wrong number.
356,you guys stop calling. This is a business line.
357,I'm doing pretty good with your fucking cock check out.
358,"No, I wouldn't"
359,please take me off your list.
360,This is a business office.
361,you can remove me from your call list.
362,Take me off your
363,Do you like sucking dick?
364,I don't need none.
365,don't call me
366,You call me today
367,I don't need it.
368,we are at the restaurant. Now we are giving the business hour.
369,I don't need anything
370,I need you to take me off the list.
371,I don't need it.
372,Stop calling me
373,I don't need none of that.
374,I don't need it
375,Take this number off your call list.
376,Please take me off your list
377,I don't need no more.
378,thank you for calling Usmania Fine Dining
379,put me on your do not call list.
380,No. Stop calling.
381,I've received this call many times
382,fucking
383,", I'm not interested."
384,Quick calling me
385,I wish you guys a quick calling.
386,I'm not interested.
387,So I don't think I want to hear about anything.
388,"I want you to take me off my calling list, off your calling list."
389,You're a goddamn company.
390,This is a business.
391,put me on your do not call us?
392,Can you please quick calling?
393,I don't need any more.
394,quit calling this number as whole.
395,I'd like to be taken off the stand call.
396,I don't need you.
397,m not interested in buying.
398,"We don't need anything,"
399,I'm really not interested right now
400,I'm not interested in that.
401,you've called me already today
402,Don't call me no more
403,how many times are you going to call me?
404,Please take me off of you
405,I don't like this.
406,"I'm not going to tell you,"
407,I don't need any.
408,no. I'm not ready.
409,I'm not interested.
410,Take me off your list
411,I'm not interested.
412,I'm not interested in insurance.
413,Please remove us from your list.
414,". I don't need insurance,"
415,Can you please remove my number
416,I'm not interested.
417,Take me off of the list
418,please remove my name from the list
419,Stop calling me
420,Stop calling me
421,"No, no, no, no. Don't call anymore. Don't call me."
422,Don't call me with that. Don't call me with that no more.
423,your calling the business.
424,"No, thanks"
425,do not call this number again.
426,I'm not really interested.
427,"We don't need anything,"
428,Take me off your list.
429,I'm not interested
430,His parents even sold my shit so quit calling me
431,I am not interested
432,You have the wrong number.
433,Take me off your list.
434,I just had a call from now about 30 minutes ago.
435,I'm not interested
436,I'm not interested in.
437,I don't need license insurance.
438,Please do not call me anymore
439,I'm trying to get tired of 100 people calling me every day.
440,"No, I'm not ready"
441,I don't need any interest
442,How many times are you going to call me?
443,I'm not interested.
444,I'm not interested.
445,I don't need to.
446,We don't need any of them.
447,Please stop calling.
448,I don't deal with the phone.
449,". No, I cannot use it. Thank you."
450,you stop calling me.
451,fuck off
452,I'm not interested.
453,You can put me on your do not call it.
454,Please take me off of your land
455,I don't talk to somebody about it
456,Now why don't you go fuck a pig?
457,I've asked you guys to stop calling me.
458,could you take us off the list?
459,Can you take us off your phone with you
460,I don't want that.
461,You have called the Fairfax County Police Department.
462,I'm not interested
463,I have no interest in a final expense.
464,I'm not interested
465,Not fucking cool
466,I'm not interested.
467,I don't need no of that.
468,I'm not interested.
469,This is like the seventh or eighth time you're told.
470,"Oh, oh. No"
471,Please don't call me right here.
472,Did you call me a little while ago?
473,I'm not interested
474,I'd like my name removed from your call list
475,I'm not interested in nothing like that.
476,I'm not interested in any more insurance.
477,Take me off your list
478,"Oh, Jesus fucking Christ."
479,I think you're calling the wrong person for our company.
480,I'm not interested.
481,I'm on the National Do Not Call for a S***.
482,Remove him from your
483,I am not interested in it
484,I want to stop calling me.
485,I don't need it.
486,you've called me a hundred times.
487,I'm not even looking for you.
488,Fuck you
489,I'm really not interested right now
490,somebody already called me about that. Okay.
491,I don't know why you keep calling me.
492,I'm not interested.
493,No.
494,I can't afford nothing right now
495,y'all keep rolling my phone up.
496,Rather take me off the
497,"I've asked about 1,000 times to have my number taken off of your list"
498,"No, Mom, thank you."
499,take me off the list.
500,Take me off your list please.
501,I don't think I was interested.
502,I'll take me off your phone list.
503,"I think you have the wrong number,"
504,I'm not interested.
505,Can you take me off the list?
506,"James, shut up."
507,Can you put me out here? Do not call with
508,Could you please take me off your list
509,Can you remove me from the call?
510,I got to tell you people to take my name off your list
511,I wish your company would stop calling me.
512,I'm not interested. I'm not interested.
513,We're not interested. I
514,I want you to take me off your fucking call-in list.
515,I don't want to do this
516,I'm not interested.
517,"Take me off your call list,"
518,I don't need another insurance.
519,I'm getting you the wrong number.
520,"I told you even last week, don't call this number"
521,I don't need to know
522,you guys keep calling me all the time. Can't you take me off your damn list?
523,I'm not interested.
524,You call me about two times a day.
525,"put me on the do not call us, and don't call me that."
526,you guys will stop calling me.
527,Don't call this number number.
528,"No, thank you."
529,do not call again
530,What do I have to do to get you to stop calling?
531,Please don't call it.
532,No thank you.
533,You can take me off
534,I don't know.
535,we're not interested at all
536,you guys stop calling.
537,"No, thank you."
538,Can you not stop calling here
539,I don't need any.
540,You can fuck you.
541,I keep people don't call me anymore.
542,I'm not interested
543,I'm not interested.
544,I think you got the wrong number.
545," No, I don't want to talk to them"
546,I said fuck you.
547,I've asked you guys several times already to take me off your call list.
548,"No, not right now."
549,take my number out of your damn calling list.
550,"Could you take me off your call list,"
551, I want you to get my number off this column list. 
552,Stop calling me
553,I request that you put my name and my phone number on a do not call list.
554,"Oh, it only no interest"
555,Take me off the call list.
556,I want to fucking tell you and I find you and beat this fucking shit out of you.
557,I have no interest in talking to him.
558,I'd be great if you ain't just fucking calling me.
559,I'm not interested
560,I want you to stop calling me.
561,Stop calling me
562,Please don't call here.
563,Take my damn phone number out of your
564,I think you have the wrong number. I'm not.
565,"We're not interested,"
566,I'm going to turn you in for a vast mess.
567,I don't want it.
568,You've been calling me every day.
569,Would you please take me off of your call list? I'm tired of getting these phone calls.
570,Taking off your goddamn list.
571,"No, thank you"
572,"No, no. I'm sorry."
573,I'm not interested.
574,"No, I'm not interested."
575,I'm not interested right now
576,I'm not interested
577,Why do you all keep calling me?
578,You have a wrong number
579,I'm not interested in this.
580,I'm not
581,"No, thank you. Bye"
582,Can you please remove my name?
583,I'm not interested.
584,I'm not invited between any fucking age and none of your fucking business.
585,We're not interested.
586,I don't need to get it
587,Take me off your call
588,fucking
589,I am not interested. I'm not interested
590,you got the wrong number. Don't call us.
591,I'm not going to give you that information.
592,Quick calling
593,I'm not interested in any of that.
594,I'm not interested.
595,I don't want to talk to you
596,"No, thank you. That's okay. Thank you for calling."
597,"No, thank you."
598,take me off the call-up please
599,would you people please quit calling?
600,do not need no interest.
601,So I don't need it
602,No.
603,We don't need that.
604,I don't need any.
605,Don't call me again.
606,I won't need it
607,I'm not interested
608,"I don't need insurance now,"
609,I think we have the wrong numbers here. Sorry.
610,I'm not interested.
611,"You guys called me on Friday, and I asked them then to take me off your calling list."
612,I can tell them to go fuck himself.
613,I don't need this.
614,"I'm not interested,"
615,I'm going to fuck you in my ass.
616,"No, thank you."
617,I'm not interested
618,Stop fucking call
619,Can you back off?
620,I'm not interested in anything
621,This number is on the national do not call
622,your not supposed to call me by me Senior Benefits.
623,I'm not interested.
624,taking us off your call list
625,I'm not.
626,"No, thank you."
627,"We don't need it,"
628,I'm not interested.
629,Can you take me off your
630,Who is fucking calling me?
631,Stop calling me
632,fucking
633,please remove me from your list.
634,I wouldn't be interested.
635,it was known for damn good.
636,please don't call again
637,stop calling.
638,"No, thank you."
639,It doesn't stop. It's like so annoying
640,I can't afford nothing right now
641,"No, no, thank you."
642,I don't want
643,"No, I'm not interested."
644,I'm not interested.
645,I don't want to do anything.
646,I fucking fuck you everybody.
647,I've done talk to 20 people a bit about that
648,I'm not interested
649,Take me off your list
650,I don't need your service
651,Somebody already call me
652,Don't call again.
653,"No, thank you"
654,I'm not interested in these
655,I really am not interested.
656,I'm not going to give you any information
657,I'm not interested.
658,I'm not interested.
659,Please take me off your call.
660,This is the 10th call. Do not call me again.
661,remove this number from your calling list.
662,If you guys stop calling me please.
663,Please kill yourself.
664,Please remove my name from your list.
665,I'm not interested in insurance.
666,How do I get off of this list?
667,We are definitely not interested in
668,I don't need any.
669,"No, no."
670,not interested.
671,Stop calling me.
672,I'm not interested right now
673,I'm totally uninterested.
674,I don't need it.
675,I'm tired of y'all calling me. I get 10 calls for more days from y'all. Take me off your list.
676,Why in the world don't you quit calling me?
677,Do not call us.
678,I do not call it.
679,I don't need it.
680,I'm not interested.
681,I don't need insurance.
682,I'm not interested in life insurance.
683,I wish all you guys the last time with quick calling my number. You're not calling me again.
684,not right now. Not interested.
685,", I'm not interested"
686,I don't need that.
687,"No, thank you."
688,Don't bother me again with this.
689,I'm not impressed with that.
690,None of your business.
691,I'm trying to get myself off the list.
692,I appreciate not getting the calls.
693,Would you please take me out for your ear?
694,"No, thank you."
695,Put me on your DNC list.
696,Put me on your do not call list
697,Just take my number off your list.
698,"No, I am. No,"
699,Please put me on a do not call list.
700,You don't need to call back no more.
701,I don't need no insurance.
702,I'm not interested.
703,not interested.
704,I wish you all a quick calling here
705,please don't call no more.
706,is there any way that you can take me off your list of people to call?
707,No.
708,I'm not interested in this.
709,not interesting.
710,"No, be honest with you. I don't need anything."
711,fuck this shit
712,I don't need that
713,stop calling.
714,We don't need anything.
715,I'm not interested in anything
716,Please take me off your call.
717, I'm not interested.
718,I don't need any information.
719,I don't need any additional insurance. Thank you
720,I want you to stop calling me
721,"No, thank you."
722,"No, Mom, thank you."
723,I don't appreciate this call.
724,Please take me off your list.
725,Can you take me off your list?
726,"No, no, no, no, no."
727,stop calling
728,I'm not interested
729,I'm not interested in any.
730,I'm not interested
731,I want you guys to take me off here and do not call this.
732,I do not need that.
733,"No, I don't think you have money to do that,"
734,I'm not interested 
735,Please take me off your calling list.
736,I'm not interested.
737,This is the business center.
738,Will you take me off to this?
739,"No, thank you"
740,I'm a lot of fucking senior and go fuck yourself.
741,could you take me off your call list please
742,I'm not interested
743,"No, thank you."
744,"I don't like these calls. You guys keep calling me all the time,"
745,would you come take the number out?
746,I'm not interested
747,I'm not interested.
748,please stop calling me
749,Is this a real person or a fucking computer
750,I'm not buying them.
751,You seem to keep calling for some stupid reason
752,Please take me off your list
753,"If you ever call me again, I'm going to please put you in jail."
754,I don't want you to take any information
755,I'm not interested.
756,I don't need any
757,I don't need any benefits.
758,"No, I'm not."
759,Is there any way y'all could take my number out this
760,Can you stop calling me?
761,I don't want to take out any more issues.
762,I'm not interested.
763,Can you stop calling my line?
764,Who the fuck are you?
765,I'm not interested in a life insurance.
766,Take me off your list.
767,I don't need all of that
768,can you please stop calling?
769,Don't call me again.
770,I don't need funeral expenses
771,I don't want to talk about that.
772,take me off your calling list
773,So don't call me back.
774,I'm not interested in insurance.
775,"No, thank you."
776,I'm not interested
777,Please take us off your
778,pussy
779,"No, I am. No,"
780,I'm not interested.
781,I've asked several times if you guys had quit calling me
782,I'm not interested in anything
783,this damn call.
784,You're a piece of crap.
785,"No, I'm not looking for that."
786,don't call me anymore.
787,How come you keep calling me?
788,"No, thank you."
789,fucking bother fucking ass lackin' in the morning. This is shit.
790,Take me off your lips.
791,I'm not interested.
792,Not interested.
793,I wish there was some way that we could get through to you to get you to quick calling us
794,Please don't call back.
795,I don't need anything
796,I don't need no license.
797,I'm not interested.
798,"No, I wouldn't."
799,I think we won't be interested.
800,"I'm not interested,"
801,this is about my 15th call.
802,I don't want to know nothing now.
803,Y'all quit calling me
804,No thank you.
805,I'm not interested
806,do not call
807,I'm not interested in that.
808,Please remove me from your call.
809,So I don't really need to get in
810,Could you please remove me from your call list?
811,I don't need to talk to you all.
812,I don't need to.
813,Please don't call this number again.
814,I'm not interested in this.
815,don't call me again.
816,"No, thank you. No, thank you."
817,can I opt out of having this phone call?
818,damn list.
819,I'm not interested.
820,"No, thank you."
821,please do not call me again.
822,"nd I wish it could put calling. Take me off your call list, please."
823,"Get out of here, scammer"
824,"I don't need,"
825,"Hey James, go fuck yourself."
826,We're not interested.
827,No ma'am.
828,Representative.
829,"No, no, no, no, no, no. I don't want it."
830,Is there a way I can be taken off? Is there a way I can be taken off?
831,We... You call the business
832,I'm not interested in anything
833,I'm not interested.
834,Why do you guys keep calling me?
835,I don't need nothing.
836,I wouldn't be interested.
837,Go fuck yourself.
838,Can you take me off your call list
839,"Good, bitch, I don't give a damn who you are, bitch. Stop calling my goddamn..."
840,I don't need that.
841,So take me off your lips.
842,"No, I'd rather not."
843,Can you take me off your list?
844,"No, no, no"
845,I don't think we've got anything to talk about.
846,". I'm just talking about your do not call list, please."
847,no. Thank you.
848,I don't need
849,I don't want to talk to anybody.
850,I don't need it.
851,You don't need to call me no more
852,No thank you.
853,don't call here.
854,please quit calling.
855,You realize you're calling Erie Insurance with this scam
856,I'm not interested.
857,you got the wrong number.
858,bitch.
859,I don't want it
860,Stop talking.
861,you need to not call me anymore.
862,I don't think I'm interested by investing right now
863,Do not call this.
864,Would you please don't bother me again?
865,Would you take me off your call
866,you guys keep calling me.
867,I don't need nothing.
868,"No, I wouldn't"
869,You please take me off your calling list
870,Please remove it from your
871,I don't need nothing.
872,. I don't need any insurance
873,No need.
874,can you please take me off your call list
875,Stop calling people. You're really annoying.
876,I hope I care about myself.
877,I have been asked to have my number removed from this call list.
878,The guy that called me this morning
879,I'm not interested.
880,This is a business line.
881,This is a scam call.
882,I don't buy stuff for people that call me on the phone.
883,I don't need any of that right now.
884,Please don't call back.
885,I want you to remove my number from your call list.
886,"No, thank you."
887,I don't need any of them
888,I'm not interested now.
889,I don't think I'm interested
890,I don't think I need it
891,"No, no, thank you."
892,I'm not interested.
893,Take my name off the call.
894,I think you've got a wrong number.
895,. I don't need this
896,How do I get removed from your call list?
897,you need to take my name off your list.
898,Don't call me again.
899,I would like for you to quit tall on these scam likely.
900,"No, I should wouldn't"
901,"No, I don't want to let it return"
902,And I would also guarantee we go through this like three times a week. And I have repeatedly asked to be moved from your
903,don't call me again.
904,I don't need nothing like that.
905,Please don't call here again.
906,"Never mind, no"
907,I'm not interesting.
908,we're not interested.
909,I'm not interested
910,I'm not interested
911,So please don't call me no more.
912,Who's the fucking carrier?
913,Stop calling me
914,Can you take me off your call list
915,You've stolen somebody's telephone numbe
916,I'm just like I was when you called me a couple hours ago. Bye bye.
917,"No, thank you."
918,I'm not interested.
919,"No, no. I don't want anything right now."
920,Can you take me off
921,but y'all just keep calling and calling and calling.
922,no. Thank you.
923,We don't need it.
924,I'm not interested
925,. I'm not interested. Sorry.
926,. No. No. No.
927,don't call back
928,How do you take me off of your call list
929,Please don't call me any more.
930,don't need anything whatever you offer.
931,I'm not interested in.
932,I have been called twice today and numerous times yesterday and the days before. Please don't call again.
933,Put me on your do not call list
934,I'm not interested in that.
935,"I'm not ready to take on another expense. So no, thank you."
936,I can't participate with anything
937,I'm not interested
938,I don't like this.
939,Don't call us on her.
940,And quick calling me. You prick.
941,So can you please remove the number
942,. I wish you'd take me off your list.
943,I don't really like insurance.
944,I'm not going to tell you.
945,I don't need your money.
946,no thank you.
947,I'm not interested
948,I don't need that yet.
949,I don't need anything.
950,Stop calling me
951,I'm not interested in any of that.
952,I'm not interested
953,I'm not interested in that.
954,you just call a while ago.
955,Stop calling my ****
956,we're not interested
957,I don't need anything
958,I'm not interested in the final expense insurance.
959,"No, I don't need it. I don't need it."
960,"I'd like to be put on the do not call list, please."
961,Y'all done called 15 times this morning.
962,I'm not interested.
963,I'm not interested in it. 
964,Do not call me again.
965,please never call me back again.
966,scam logs
967,I have no interest in a final expense.
968,You took my number of slides last.
969,I'm not interested.
970,"I'd like you to stop calling me,"
971,I'm not interested in this
972,Can you put me on the
973,I told you to quit calling me.
974,I don't need it 
975,"Oh, I wouldn't."
976,I'm not interested
977,No thank you.
978,"I'm not interested,"
979,You call me 10 damn times about this
980,people like a son of a bitch.
981,fuck off.
982,I don't want to talk to anybody.
983,It's a third time you people call me
984,I don't need a fee.
985,Take me off your list.
986,I think you called it wrong number. This is Ross's store
987,Stop calling me. Fuck off.
988,Can you guys stop calling this number please?
989,I don't need that
990,I don't need no burial insurance
991,. No. No. No.
992,I really don't need anything else.
993,Please take me off your call list.
994,Please take me off your
995,I'm not ready
996,"No, thank you."
997,"no, I don't have to."
998,"No, thank you very much"
999,this is a business line.
1000,I don't need to know
1001,No thank you.
1002,"Don't call me,"
1003,Are you removing my number from your call list?
1004,I would be doing better if you would take me off your call list.
1005,I'm not interested in that
1006,I'm not.
1007,stop ringing me.
1008,Don't call again.
1009,fuck
1010,please don't call Sam on the phone.
1011,"No, I'm not."
1012,Don't be calling me dirty motherfuckers.
1013,I'm not interested.
1014,he buries his shit in the back yard when he takes a shit
1015,I don't need any benefits.
1016,stop calling over here.
1017,What do I have to do to get you to stop calling me
1018,I'm not interested
1019,"No, I'm not interested"
1020,Don't pay us to shove them up your ass.
1021,I'm not interested.
1022,I'm not interested.
1023,"No, thank you"
1024,I'm not interested
1025,So what would you like to learn how a partner appreciate that motherfucking piece shit?
1026,I don't want to answer.
1027,I don't need an insurance
1028,"I'm not interested,"
1029,You can take me off your list.
1030,but I don't need any of that. And I wish you could get me off the list somehow. Thank you.
1031,"No, thank you."
1032,Please don't call me again.
1033,please do not call this number again.
1034,"No, thank you."
1035,"No, it isn't."
1036,you guys call me about four or five times a week.
1037,Stay from your listing.
1038,Please take my number off your call list.
1039, Not interested. 
1040,"I'm still alive, dog"
1041,I'm not interested in.
1042,please stop calling this number. I would appreciate it.
1043,you're calling an elementary school.
1044,Please don't call anymore.
1045,I'm not interested in that
1046,I'm not interested.
1047,I don't need any live insurance supplies.
1048,how about you quit fucking calling me?
1049,please stop calling in.
1050,not right now. Not interested.
1051,I'm not interested.
1052,you don't call here anymore.
1053,can you take my number out of
1054,I'm going to take off our number.
1055,You get the wrong number.
1056,I'm not interested
1057,Take me off to this
1058,just take me off that
1059,taking her off your calling list.
1060,I'm not answering that.
1061,Not interested.
1062,"Why do you keep calling me? Why do you keep calling me? Every time I block you, find another number of calls."
1063,"Take me off your list,"
1064,I'm going to hang up.
1065,I don't need your insurance
1066,I do not need any more.
1067,Could you pick me off the list?
1068,"No, thank you."
1069,I don't need any.
1070,check my name off this call and list
1071,I don't need to do that.
1072,You've called a business.
1073,Can you put me in a not cold list
1074,You're not going to get anything out of me. I'm not holding up. Goodbye.
1075,I don't need to be this. So stop.
1076,I'm not interested
1077,I don't need a third one.
1078,I don't want
1079,I'm not interested.
1080,Would you please not call my number again
1081,I have no help.
1082,I don't need any insurance.
1083,I'm putting on do not call this.
1084,I have no interest in talking to him.
1085,do not call me back.
1086,"No, no, no, no, thank you."
1087,You're speaking with a dispatcher at a business.
1088,we're not interested.
1089,I'm not interested
1090,"Becky, would you quit calling me?"
1091,And you guys call from so many numbers.
1092,take us off your list
1093,Please take me after you call us.
1094,Fuck off
1095,I'm not interested.
1096,I don't want you to fucking call me no more at home.
1097,I'm just not ready to decide. But thank you for telling. I'm not ready to decide.
1098,I don't think we've got anything to talk about.
1099,I don't need any more insurance
1100,Would you please put me on Do Not Call?
1101,I'm not interested
1102,please don't call no more.
1103,I'm not in the middle of your funeral.
1104,I don't need no live insurance.
1105,Don't call here. No more. Don't call here.
1106,I'm not interested.
1107,I'm not interested right now.
1108,Don't call me anymore.
1109,Please don't call me anymore.
1110,We don't want to talk to you.
1111,"I don't need,"
1112,"No, thank you."
1113,So please remove our name
1114,I don't need no shit. Let's get out of my phone.
1115,"No, I'm not. No, I'm hang up. I'm hang up."
