Text,Disposition
You guys comment 10 times a day.,DNC
You please take me off your calling list,DNC
quick calling,DNC
Don't call me anymore.,DNC
"I've got no bullshit today,",DNC
If you're a please take her off the call list and quit calling.,DNC
take me off and calling Leah.,DNC
Give your damn head. Don't call me.,DNC
But you don't need to call me no more,DNC
Can you back off?,DNC
"you're not leaving me alone, are you?",DNC
please stop calling me.,DNC
"Don't call this number again, put on your no-call list.",DNC
Are you removing my number from your call list?,DNC
I'm going to turn you in for a vast mess.,DNC
Please add me to your do not call list,DNC
You're calling list.,DNC
You're calling me on the same different numbers all the time,DNC
please never call me back again.,DNC
"Would you take me off your list,",DNC
And you rather the fucking guy. You fucked up.,DNC
So take my name off your list.,DNC
Take me off your lips.,DNC
And I would like if you please don't call us again,DNC
Why do you keep calling me,DNC
Stop calling me.,DNC
I would like for you not to call me again.,DNC
I don't want you to fucking call me no more at home.,DNC
I'm fucking shit over at my house.,DNC
"If you could remove my name, it'd save us both some time.",DNC
I don't want to know a goddamn thing. ,DNC
Doesn't need to be called by anything. It's a business. Please don't call us number again.,DNC
I think you caught wrong place,DNC
I'm not only no damn benefit.,DNC
Take me off to this,DNC
Do not call me.,DNC
You just called me 10 minutes ago.,DNC
Take my name off.,DNC
You can take us off that call list,DNC
quit calling this number as whole.,DNC
I'm trying to get myself off the list.,DNC
you call me 15.,DNC
you can remove the phone number?,DNC
so quit sussin' call on me.,DNC
I've asked you repeatedly not to call me anymore.,DNC
Can you remove me off your card and list,DNC
You call me 10 damn times about this,DNC
Please don't call me again,DNC
Please stop calling me.,DNC
please don't call.,DNC
Can you take me off your list?,DNC
I have asked you guys several times to stop calling me.,DNC
Please don't call anymore.,DNC
I would be doing better if you would take me off your call list.,DNC
you people have called me like 20 times a day. I'm getting tired of it.,DNC
I don't need this call anymore.,DNC
you really need to stop calling me.,DNC
Please stop calling.,DNC
I want you to take me off your fucking call-in list.,DNC
Please don't call this,DNC
Would you stop calling me,DNC
I'd like you to quit calling me,DNC
Can you take me off your list,DNC
You call me everyday,DNC
Can you remove this number from your calling list?,DNC
Can you please stop calling my phone,DNC
I have got this call so many times and it's so annoying.,DNC
Take me off your list,DNC
Quick calling me,DNC
You don't need to call back no more.,DNC
"you just call me yesterday,",DNC
The guy that called me this morning,DNC
Can you please quick calling?,DNC
You call me today,DNC
How won't you put me on a no-call list?,DNC
this is about my 15th call.,DNC
You can take me off your list.,DNC
you did that crap.,DNC
Is this a real person or a fucking computer,DNC
"You keep calling a business. You just call me about three, four times a day.",DNC
I wish your company would stop calling me.,DNC
Can you stop calling me?,DNC
Five people call me to while you want over the same thing they don't tell you,DNC
That's none of your goddamn business,DNC
take me off your list,DNC
Stop calling motherfucker.,DNC
m on the Do Not Call list.,DNC
I don't know why you guys keep calling me,DNC
"I'm a fucker, it has called me about 20 minutes ago.",DNC
Would you please not call my number again,DNC
"Take me off your list, please",DNC
Don't call this number number.,DNC
"You call me last night,",DNC
Put me on your do not call it.,DNC
Take me off of your call list.,DNC
remove this number from your calling list.,DNC
Quick calling,DNC
Why do you keep calling me?,DNC
So take me off your lips.,DNC
Why don't you take me off your call list?,DNC
you guys stop calling.,DNC
you guys will stop calling me.,DNC
you need to not call me anymore.,DNC
Why do you guys call me every single day,DNC
This is a business.,DNC
I told you not to call me,DNC
Would you please don't bother me again?,DNC
I wish you all a quick calling here,DNC
I told you to quit calling me.,DNC
Take me off the coldes,DNC
Can you take me off your phone list?,DNC
I fucking fuck you everybody.,DNC
Is illegal?,DNC
I just wish you guys stop calling me just a waste of all of our time then.,DNC
why don't you just tell me what you want and then take my name off your call list,DNC
Please don't call here anymore.,DNC
This is a scam call.,DNC
Could you just remove me from this calling one,DNC
Can you put me in a not cold list,DNC
Please take this number off of your list,DNC
Put me on your do not call list,DNC
It's a third time you people call me,DNC
you guys keep calling me all the time. Can't you take me off your damn list?,DNC
I'm going to report it to whoever I can report it to from the police department to FCC and everybody else. Do not call.,DNC
stop calling me.,DNC
Can you quit calling me?,DNC
You've called the place of business.,DNC
I don't need no shit. Let's get out of my phone.,DNC
could you take us off the list?,DNC
never call me again,DNC
you're calling a hospital home,DNC
please stop calling me,DNC
I'm going to talk to you and quit calling.,DNC
Don't call this number.,DNC
y'all do not call.,DNC
I'll be a lot better if you guys could call me all the time,DNC
Take the FU list.,DNC
Why don't you suck a dick?,DNC
"No, bitch. Hang up.",DNC
Not fucking cool,DNC
Don't call me back.,DNC
do not call this number again.,DNC
you can remove me from your call list.,DNC
"You were supposed to take my name off the call list,",DNC
This is a business,DNC
Would you take me off your calling list?,DNC
o could you please take us off your list?,DNC
"Would you take me off your list, please?",DNC
So don't call me back.,DNC
Take me off your list.,DNC
Please delete my number,DNC
I'm putting on do not call this.,DNC
Take me off of the list,DNC
Don't call me no more,DNC
So can you please remove the number,DNC
You've called a business.,DNC
"Take me off your call list,",DNC
Can you take me off to the police place,DNC
would you quit calling me,DNC
I asked you not to call me again.,DNC
Have to keep calling me,DNC
Stop calling me.,DNC
Can you take me off your list,DNC
Please do not call me anymore,DNC
Don't pay us to shove them up your ass.,DNC
Don't call me again.,DNC
What kind of a damn phone?,DNC
I've actually all not to call me no more,DNC
Please take me off your list.,DNC
"I'm still alive, dog",DNC
you need to take my name off your list.,DNC
I'm tired of getting phone calls.,DNC
You stupid motherfucker.,DNC
You must have the wrong number,DNC
"I'm not only no fucking fixed income. I work my ass off every day, put me on a do not call you.",DNC
I just think you called the wrong number,DNC
"you've been favor of the shut up, please. Take my off-road list.",DNC
I keep people don't call me anymore.,DNC
just fuck yourself.,DNC
I wish you all a quick calling,DNC
I wish you guys would stop calling my number.,DNC
Why are you calling a business,DNC
Every day you bother me.,DNC
I've asked you guys several times already to take me off your call list.,DNC
you call me every day,DNC
you don't have to do all that crap.,DNC
Take us off your calling list.,DNC
People keep calling me. It's driving me crazy.,DNC
I'm doing fancy quick calling.,DNC
I just want to die,DNC
Can you take us off your phone with you,DNC
Did you call me last week too?,DNC
This is the third time you guys are called,DNC
So please don't call me no more.,DNC
So please remove our name,DNC
Take me off your list,DNC
You're a line sack of shit scammer.,DNC
I'd like you to stop fucking calling me.,DNC
I've told you to freak easily that to call me.,DNC
Can you please remove my number,DNC
I got to tell you people to take my name off your list,DNC
I've done talk to 20 people a bit about that,DNC
I appreciate if you would take me off your call list,DNC
"I've asked about 1,000 times to have my number taken off of your list",DNC
you keep calling me.,DNC
I'll take the action off you.,DNC
Please take me off your call.,DNC
You're speaking with a dispatcher at a business.,DNC
Please stop calling.,DNC
Stop calling my phone moron.,DNC
you have called me before.,DNC
I wish all you guys the last time with quick calling my number. You're not calling me again.,DNC
you're calling a hospital.,DNC
You people have been calling me every day for like two months,DNC
do you enjoy wasting my time every day,DNC
I fucking said no.,DNC
I think you got the wrong number.,DNC
I don't know why you keep calling me.,DNC
Can you put me out here? Do not call with,DNC
Take me off the list,DNC
I want you to stop calling me.,DNC
You have the wrong number.,DNC
Somebody already call me,DNC
there is so many people keep calling.,DNC
quit fucking calling me,DNC
Would you please stop coming?,DNC
I think you have the wrong number.,DNC
"I'd like you to stop calling me,",DNC
Take me off your list right now.,DNC
So you're going to call me every day?,DNC
Take this number off of your list.,DNC
Y'all won't stop calling me. So me and my husband is going to sue.,DNC
I have been called twice today and numerous times yesterday and the days before. Please don't call again.,DNC
Stop calling me.,DNC
You call me so many times,DNC
This is a business.,DNC
Could you pick me off the list?,DNC
Please take me off of your land,DNC
"Can you remove our number from your listing,",DNC
You get the wrong number.,DNC
Take my name off the call.,DNC
take me off to this,DNC
So quit wasting my time.,DNC
I run a business and I get about 20 calls a day from y'all.,DNC
I'm going to fuck you in my ass.,DNC
Please take me off the list.,DNC
fuck yourself.,DNC
Take me off your list,DNC
Can you take me off your list?,DNC
I'd like to learn more about your grandma's asshole,DNC
"Take me off your list, please",DNC
Don't call back.,DNC
Fuck you guys. Stop calling.,DNC
Would you please take me off your call list? Thank you.,DNC
this is a business phone,DNC
you guys call me a thousand times a day.,DNC
I would like for you to remove us from your call list.,DNC
Take us off your list,DNC
Do not call us.,DNC
I think you got the wrong number.,DNC
Please do not call me again. Do not call me.,DNC
"Oh, Jesus fucking Christ.",DNC
please put me on the do not call list because they call me 1200 times a day?,DNC
You took my number of slides last.,DNC
Please stop calling me,DNC
I'm getting you the wrong number.,DNC
I'm still on the no call list,DNC
you're being a fucking ass right now,DNC
so take me off the list,DNC
your not supposed to call me by me Senior Benefits.,DNC
I would like for you to quit tall on these scam likely.,DNC
I would appreciate it if he would stop calling me,DNC
what the fuck you calling me for?,DNC
"Could you take me off your call list,",DNC
You seem to keep calling for some stupid reason,DNC
Can you take us off your call list please,DNC
You move my number to your lead.,DNC
somebody already called me about that. Okay.,DNC
I've received this call many times,DNC
Take me off your list.,DNC
I don't understand why they keep calling me,DNC
"nd I wish it could put calling. Take me off your call list, please.",DNC
I request that you put my name and my phone number on a do not call list.,DNC
It's just a waste of time,DNC
Put me on no call list.,DNC
Could you take me off to the calling list,DNC
I'm not invited between any fucking age and none of your fucking business.,DNC
Not worth a shit. I just buried my wife and if you fucking people don't quit calling,DNC
I already got this shit done.,DNC
Please take me off of you,DNC
how many times are you going to call me?,DNC
Please stop calling,DNC
You don't need to call me no more,DNC
quick. Call me.,DNC
Can you please remove my phone number from your list?,DNC
"Go fuck yourself, yes.",DNC
Take me off your list.,DNC
"Kiss my ass. Stop calling this goddamn number, you fucking jackass.",DNC
this is a four-time job trying to scam people in. I mean...,DNC
"At until we stop calling, yeah, got in somewhere.",DNC
We are pleased to stop calling me by some senior benefits.,DNC
it's a scam.,DNC
Motherfucker. Is your mama 40?,DNC
please stop calling this number. I would appreciate it.,DNC
I have a number you dumbass.,DNC
"Fuck you, your motherfucker",DNC
His parents even sold my shit so quit calling me,DNC
You need to get this number off your list.,DNC
Don't call me no damn.,DNC
Thanks for fucking talking about me.,DNC
please stop calling this number. I would appreciate it.,DNC
put me on your do not call list because I'm not a senior and I just keep getting these calls.,DNC
Please don't call back.,DNC
You must have a wrong number.,DNC
None of your fucking business.,DNC
"I think you have the wrong number, sir.",DNC
Do not call.,DNC
Did you call me a little while ago?,DNC
. I wish you would never call me again.,DNC
"how many times do you want to call, buddy",DNC
"Get out of here, scammer",DNC
So would you take me off your list,DNC
Please don't call back.,DNC
Will you please quit calling me,DNC
I'd like to learn more about this scam,DNC
You have the wrong number.,DNC
I'd like to be taken off the stand call.,DNC
"If you can stop calling, I'd appreciate it.",DNC
do not call again,DNC
I think you got the wrong number.,DNC
Every fucking day.,DNC
Please remove this from your list.,DNC
I think we have the wrong numbers here. Sorry.,DNC
Can you remove me from your callers,DNC
Please kill yourself.,DNC
Please take me off your list,DNC
you called me this morning James,DNC
Take me off the call list.,DNC
Will you please stop calling me,DNC
"I've already talked with somebody. I've asked you all to take me off your call list and stop calling me, please.",DNC
I wish I could quit calling me six times a day.,DNC
You're calling me several times because please stop calling me.,DNC
You called the hospital,DNC
Stay from your listing.,DNC
Don't call me again.,DNC
Please don't ever call me anymore,DNC
So please take me off your call list or I'll report you guys.,DNC
"James, shut up.",DNC
Taking off your goddamn list.,DNC
They were supposed to take my number and not call me anymore because there's a problem.,DNC
Quit calling me all the time.,DNC
Take me off your name and calling with us.,DNC
this is a business,DNC
"What do you want you Indian motherfucker, stop calling me",DNC
I'm all shit.,DNC
quit calling me,DNC
Please do not call here again.,DNC
I want to fucking tell you and I find you and beat this fucking shit out of you.,DNC
I know all day shit,DNC
Don't call me again.,DNC
Put me on your DNC list.,DNC
What do I have to do to get you to stop calling?,DNC
Don't call no more.,DNC
Take me off your list,DNC
Can I go on a do not a call list?,DNC
Please remove us from your list.,DNC
I'm doing pretty good with your fucking cock check out.,DNC
. Fuck all you,DNC
Who's the fucking carrier?,DNC
Take me off your calling list.,DNC
I'm worth a shit. I'm still alive and kicking.,DNC
Just take my number off your list.,DNC
Could you just stop calling me,DNC
I want you guys to take me off here and do not call this.,DNC
"I think you've got the wrong number,",DNC
Quit calling me.,DNC
I can tell them to go fuck himself.,DNC
"if you're trying to tell me a bunch of junk anymore, don't call it more.",DNC
What do I have to do to get you to stop calling me,DNC
You realize you're calling Erie Insurance with this scam,DNC
you guys keep calling me,DNC
Why do you keep on calling me?,DNC
I don't need no damn senior benefits.,DNC
Please take my number off your call list.,DNC
I want you to take me off your list.,DNC
Once called Senior you fucking shag it.,DNC
people like a son of a bitch.,DNC
Please take us off your call list,DNC
Do you like sucking dick?,DNC
It doesn't stop. It's like so annoying,DNC
you got to stop calling me,DNC
Now why don't you go fuck a pig?,DNC
Take me off the list,DNC
So what would you like to learn how a partner appreciate that motherfucking piece shit?,DNC
could you take me off,DNC
"I don't give a shit, don't go to hell.",DNC
do not call me back.,DNC
you don't call me one time today.,DNC
And you guys call from so many numbers.,DNC
stop calling.,DNC
Stop calling me.,DNC
please just don't call again.,DNC
"Take me off your list,",DNC
let me tell you I have to tell you not to call me.,DNC
You're a piece of crap.,DNC
"You will fucking die. You will fucking die. You got it, right?",DNC
I told you not to keep going,DNC
You call me about two times a day.,DNC
you need to stop calling.,DNC
"I mean, why do you all even call me",DNC
I want you to stop calling me,DNC
I said fuck you.,DNC
"I don't want you to call me again, please.",DNC
I'm going to take off our number.,DNC
please take me off your list.,DNC
You gonna let me fuck your big dick?,DNC
I'm sick and tired of you people calling me every frickin' day.,DNC
Quick calling me.,DNC
And I feel like y'all harassing me,DNC
That's how I'm going to go fucking...,DNC
I would like to be taking off your call list.,DNC
This is the 10th call. Do not call me again.,DNC
Go fuck yourself.,DNC
"I just fucking cussed you out of here, bitch. Don't call here.",DNC
I've asked to take my name off your call list.,DNC
"Hey James, go fuck yourself.",DNC
Don't call us on her.,DNC
how about you quit fucking calling me?,DNC
Put me on the do not call,DNC
you got the wrong number motherfucker.,DNC
If you guys stop calling me please.,DNC
Don't call me again.,DNC
And quick calling me. You prick.,DNC
Let the fuck up the dog home and fucking phone asshole.,DNC
Your bothering me.,DNC
Stop calling me,DNC
fuck off,DNC
I'd like my name removed from your call list,DNC
Can you stop calling me?,DNC
don't call back,DNC
don't call me,DNC
you've called me a hundred times.,DNC
take us off your list,DNC
I wish there was some way that we could get through to you to get you to quick calling us,DNC
"If you ever call me again, I'm going to please put you in jail.",DNC
Please don't call me.,DNC
Quit calling me,DNC
Please take this number off the list,DNC
motherfucker,DNC
 I want you to get my number off this column list. ,DNC
Can I please be taking off the calling list?,DNC
fuck off,DNC
you stop calling me.,DNC
Stop talking.,DNC
"Becky, no more calls please.",DNC
"Ma'am, what the hell is this gonna keep on bothering me? Please don't bother me on my word.",DNC
Take this number off your call list.,DNC
Take me off your call,DNC
Would you take me off your call,DNC
Please take me off your calling list.,DNC
Don't call me back again.,DNC
Don't call me no more.,DNC
Please take me off your,DNC
Stop calling me.,DNC
so you can take me off your list.,DNC
I would be real good if people would quit calling me from Senior Benefits.,DNC
You're calling from Gateway Auto Parts.,DNC
what the fuck do you want?,DNC
I'll be real good when you take my name off the list.,DNC
fuck off,DNC
Do me a favor and remove my fucking number.,DNC
Take the off the list.,DNC
Stop calling this number.,DNC
don’t call here again,DNC
Please don't call back here again.,DNC
Shut up!,DNC
Please hang up and please take my name or if you'll call a list.,DNC
This is like the seventh or eighth time you're told.,DNC
This is a business office.,DNC
"No, no, no, no. Don't call anymore. Don't call me.",DNC
Stop calling me,DNC
Will y'all please stop calling?,DNC
Please take me off this list.,DNC
Please don't call here.,DNC
"Becky, would you quit calling me?",DNC
This is a business.,DNC
"I'd like to be put on the do not call list, please.",DNC
You can call me for this shit.,DNC
Can you please remove my name?,DNC
Fuck you,DNC
don't call me back. Take my name off.,DNC
You're calling off of a spoofed number.,DNC
I keep asking people to take me off.,DNC
So you don't have to call me more with this. So you don't have to call me more with this.,DNC
I'm tired of phone calls. Don't...,DNC
Representative.,DNC
Thank you for calling Sandy a laboratory federal credit.,DNC
Please take me off your call list.,DNC
Could you take my name off your list?,DNC
please do not call me again.,DNC
Are you fucking idiot?,DNC
Stop calling me,DNC
Would you please take me off your call,DNC
I appreciate not getting the calls.,DNC
If you could take me off your list,DNC
you got the wrong number.,DNC
Why in the world don't you quit calling me?,DNC
off your list,DNC
Please remove me from your call list.,DNC
fucking,DNC
Take me off your list please.,DNC
bitch.,DNC
I've asked you guys to stop calling me.,DNC
Take me off your,DNC
So you can take me off your little list.,DNC
I don't know why you guys keep calling me.,DNC
It's fucking morning.,DNC
This is a scam call.,DNC
Leave me alone. Take me off your call list.,DNC
Take me off your list.,DNC
Will you stop calling this number?,DNC
I think you're calling the wrong person for our company.,DNC
will you guys quit calling me at Medicaid?,DNC
Can you remove my number from your...,DNC
please don't call Sam on the phone.,DNC
Don't call us.,DNC
take me off the list.,DNC
check my name off this call and list,DNC
I'm not fucking calling you.,DNC
"I told you even last week, don't call this number",DNC
would you people please quit calling?,DNC
Can you put me on the do not call,DNC
I'm just like I was when you called me a couple hours ago. Bye bye.,DNC
Can you take me off your call?,DNC
would y'all take me off the list?,DNC
Please don't call here again.,DNC
How many times you gonna call me?,DNC
Put me on your do not call list,DNC
Fuck you,DNC
"I'm fucking party, bitch.",DNC
you guys call me about four or five times a week.,DNC
Do not call this.,DNC
"Good, bitch, I don't give a damn who you are, bitch. Stop calling my goddamn...",DNC
Who is fucking calling me?,DNC
"I don't like these calls. You guys keep calling me all the time,",DNC
Could you take my number off your,DNC
"Becky, please leave my number, leave my number.",DNC
Leave me alone.,DNC
you guys keep calling me.,DNC
"can you take this number off your call-up, please",DNC
y'all keep rolling my phone up.,DNC
would you come take the number out?,DNC
don't bother calling me.,DNC
Please don't call me any more.,DNC
can you please take me off this list?,DNC
Can you stop calling my line?,DNC
Remove me from your calling.,DNC
I think you've got a wrong number.,DNC
You can take me off,DNC
why don't you just fuck off?,DNC
Please don't call me right here.,DNC
Please don't call this number again.,DNC
please take me off your list.,DNC
Just take me off the call,DNC
would you just take me off your list?,DNC
Don't call me again.,DNC
wrong number.,DNC
y'all keep calling.,DNC
Could you take my number off,DNC
Rather take me off the,DNC
don't call me anymore.,DNC
you've called me already today,DNC
Don't call me with that. Don't call me with that no more.,DNC
Delete this number.,DNC
I would like to be placed on the do not call list,DNC
stop ringing me.,DNC
You're a goddamn company.,DNC
You take my name off your list.,DNC
Take me out your list,DNC
"You guys called me on Friday, and I asked them then to take me off your calling list.",DNC
bitches?,DNC
Stop calling me,DNC
damn list.,DNC
Please do not call anymore,DNC
can I opt out of having this phone call?,DNC
Could you please remove me from your call list?,DNC
this is like the third time you've called this morning.,DNC
You've called the commercial number. Can you please take the number off your list,DNC
this is a hospital and we need this number removed from your,DNC
"could you please take my number off your list, please?",DNC
I'm tired of these pain calls.,DNC
Would you please take me off of your call list? I'm tired of getting these phone calls.,DNC
is there any way that you can take me off your list of people to call?,DNC
Can you not stop calling here,DNC
"put me on the do not call us, and don't call me that.",DNC
Why would I be getting these calls every two minutes?,DNC
Would you please put me on Do Not Call?,DNC
Would you stop calling here?,DNC
please stop calling us.,DNC
You want to see guys be called every day? You've already called once today.,DNC
Take my damn phone number out of your,DNC
Take me off the call list.,DNC
Can you remove me from your calling list?,DNC
I'm on the National Do Not Call for a S***.,DNC
Do not call this.,DNC
Please put me on the do not call.,DNC
Can you remove this number off y'all's list? This is a business.,DNC
Stop calling me,DNC
do not call,DNC
Please don't call me anymore.,DNC
Not worth a damn. I'm tired of y'all calling.,DNC
Please take me off the call list.,DNC
Can you take me off,DNC
Don't call me anymore.,DNC
Stop calling me,DNC
"this numbers on the do not call list, so please do not call.",DNC
please remove me from your list.,DNC
please stop calling.,DNC
you can take me off your phone list.,DNC
I told them to take my name off the list,DNC
stop calling my phone number.,DNC
Stop calling me,DNC
don't call me.,DNC
I just had a call from now about 30 minutes ago.,DNC
Take me off your call list,DNC
Fuck you,DNC
Eat a fat bag of dicks and go suck a fucking,DNC
Don't call my phone anymore.,DNC
will you please quit calling me?,DNC
Do not call me again.,DNC
Please take me off your call.,DNC
You stupid sandnegger!,DNC
Please quit calling. Please quit calling.,DNC
"Could you please take me off the call list,",DNC
I'm trying to get tired of 100 people calling me every day.,DNC
Take me off your call list.,DNC
Take me off,DNC
put me on your do not call us?,DNC
Remove him from your,DNC
add me to your do not call list.,DNC
Y'all done called 15 times this morning.,DNC
put me on a do not call this.,DNC
You call me a dozen times and I've asked her not to keep calling.,DNC
Please don't call me anymore.,DNC
please don't call again.,DNC
please don't call me no more.,DNC
please stop wasn't calling me.,DNC
please take me off the list.,DNC
Get this off the phone.,DNC
"Don't call me,",DNC
You are about the third time someone has called your company. Please take our name off your list.,DNC
I'm tired of y'all calling me. I get 10 calls for more days from y'all. Take me off your list.,DNC
take me off your calling list,DNC
you might have the wrong number,DNC
Please remove me from your call.,DNC
I'm going to talk to you about your representative.,DNC
Stop calling me,DNC
I don't want any more calls.,DNC
You have called the Fairfax County Police Department.,DNC
Could you delete my number?,DNC
you can just fuck off,DNC
I want you to take my number off.,DNC
I want you to remove my number from your call list.,DNC
I need to move my name from your list.,DNC
You can put me on your do not call it.,DNC
"Why don't you just hang up, you fucking idiot.",DNC
this damn call.,DNC
put me on your do not call list.,DNC
Stop fucking calling me.,DNC
This is harassment.,DNC
I've asked him many times to take this number off your listings.,DNC
Take me off your list.,DNC
you just call a while ago.,DNC
Can you take me off the,DNC
you got the wrong number. Don't call us.,DNC
you've got to remove my number from your list. I'm going to have to remove my number from your list.,DNC
Please don't call me anymore.,DNC
take me off your list.,DNC
please don't bother me again.,DNC
please remove our number from your,DNC
Why do you guys keep calling me?,DNC
why y'all keep calling,DNC
WLS TV transmitter site. That's who you called,DNC
You have the wrong number. You have the wrong number. You have the wrong number.,DNC
I wish that you would just quit calling me.,DNC
Stop fucking call,DNC
don't call me anymore.,DNC
"Becky, get a real fucking job.",DNC
Please take us off the list.,DNC
Please remove my name from your list.,DNC
. I wish you'd take me off your list.,DNC
Don't call me again.,DNC
You'll call me like five million times.,DNC
Stop calling.,DNC
Fuck you,DNC
Do not call,DNC
harassment. Every five minutes I get a phone call from you guys.,DNC
thank you for calling Usmania Fine Dining,DNC
What the fuck,DNC
I want to speak to a representative,DNC
I don't give a fuck about that shit.,DNC
Don't bother me again with this.,DNC
Fuck you,DNC
Please take us off of your...,DNC
Please take me off your list,DNC
can you please stop calling?,DNC
"You guys have been calling me consistently,",DNC
You can take me off your list.,DNC
Stop calling me,DNC
I need you to take me off the list.,DNC
Why you people keep calling me?,DNC
Stop calling here.,DNC
I think you called it wrong number. This is Ross's store,DNC
You got the wrong number,DNC
This is a hospital,DNC
please do not call this number again.,DNC
please take my name and number off of your calling list.,DNC
scam logs,DNC
Stop calling my ****,DNC
Stop calling me,DNC
Stop calling me,DNC
you get a carrot in sticking in your asshole,DNC
you're calling to another main treat school.,DNC
you're calling an elementary school.,DNC
Can you take me off the list?,DNC
don't call me no more with it,DNC
can you please take me off your call list,DNC
Stop calling me,DNC
Fuck you,DNC
please quit calling.,DNC
don't call back,DNC
"Take me off the call,",DNC
Can you take me off your call list,DNC
How do you keep on calling people bullshit,DNC
please stop calling in.,DNC
"Could you remove me off your list, please?",DNC
Pick my name off the list please.,DNC
fucking,DNC
please remove my name from the list,DNC
fuck,DNC
Please stop calling.,DNC
Please don't call me back.,DNC
Why do you all keep calling me?,DNC
Can you please take my number off this phone call?,DNC
Take me off the list.,DNC
Put me on a do not call list.,DNC
Stop calling me,DNC
don't call me again.,DNC
Do you need to speak to someone in the braces side or general dentistry?,DNC
None of your fucking business.,DNC
Don't call me again,DNC
this is my daughter's phone you're calling. So if you could just remove the number,DNC
I'm fucking horrible since you called. You called to put me on the call list.,DNC
This is a business line.,DNC
I'll take me off your phone list.,DNC
Don't call me anymore.,DNC
I'd like to be removed from,DNC
fuck off.,DNC
"can you not call me anymore please? Okay, can you not call me anymore please?",DNC
get my number off this damn list.,DNC
this is a business line.,DNC
your calling the business.,DNC
This is a business line.,DNC
Stop calling me,DNC
we are a business. So if you could take us off the,DNC
you are damn liar.,DNC
take my number out of your damn calling list.,DNC
Can you please take me off your calling list?,DNC
I have been asked to have my number removed from this call list.,DNC
How come you keep calling me?,DNC
I'd be great if you ain't just fucking calling me.,DNC
Don't call again.,DNC
You guys keep calling.,DNC
This is a hospital room.,DNC
y'all keep calling me.,DNC
stop calling,DNC
I would appreciate you guys not calling me anymore.,DNC
Stop calling me,DNC
You take me off your call list.,DNC
stop calling over here.,DNC
can you take my number out of,DNC
Please stop calling.,DNC
Fuck you,DNC
Can you take my name off this?,DNC
Stop calling me,DNC
You've stolen somebody's telephone numbe,DNC
Will you please stop. Call me.,DNC
You want to fuck?,DNC
I'm fine as long as you people stop calling me. I get so many damn calls.,DNC
Can you take me off your,DNC
